  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
 2847 | Cirencester                                                                                          | 2012-08-01 09:00:53.46189  | 2012-08-01 09:00:53.465449 | 
 2848 | Evesham                                                                                              | 2012-08-01 09:00:53.470623 | 2012-08-01 09:00:53.474028 | 
 2849 | Frome                                                                                                | 2012-08-01 09:00:53.478487 | 2012-08-01 09:00:53.481794 | 
 2756 | Ingolstadt                                                                                           | 2012-08-01 09:00:53.218935 | 2012-08-06 12:58:05.336987 | 8234
 2538 | KuPS                                                                                                 | 2012-08-01 09:00:52.745349 | 2012-08-06 13:01:01.059378 | 1693
 2858 | Chateauroux                                                                                          | 2012-08-01 09:00:53.518052 | 2012-08-01 09:00:53.521225 | 
 2637 | Haugesund                                                                                            | 2012-08-01 09:00:52.903419 | 2012-08-09 12:52:23.429452 | 8512
 2896 | Panetolikos                                                                                          | 2012-08-01 09:00:53.532695 | 2012-08-01 09:00:53.5359   | 
 2996 | Maccabi Netanya                                                                                      | 2012-08-01 09:00:53.577193 | 2012-08-01 09:00:53.58101  | 
 2998 | FC Eindhoven                                                                                         | 2012-08-01 09:00:53.594202 | 2012-08-01 09:00:53.597343 | 
 2999 | Kardemir Karabukspor                                                                                 | 2012-08-01 09:00:53.602809 | 2012-08-01 09:00:53.606782 | 
 3016 | Bnei Yehuda                                                                                          | 2012-08-01 09:00:53.619198 | 2012-08-01 09:00:53.622402 | 
 2617 | IFK Gothenburg                                                                                       | 2012-08-01 09:00:52.879923 | 2012-08-06 12:58:00.96028  | 9893
 3017 | Hapoel Haifa                                                                                         | 2012-08-01 09:00:53.628036 | 2012-08-01 09:00:53.631529 | 
 3018 | Carrick R                                                                                            | 2012-08-01 09:00:53.636087 | 2012-08-01 09:00:53.639213 | 
 3019 | Dungannon S                                                                                          | 2012-08-01 09:00:53.644718 | 2012-08-01 09:00:53.64824  | 
 3020 | Shmona                                                                                               | 2012-08-01 09:00:53.652973 | 2012-08-01 09:00:53.656502 | 
 3059 | Freamunde                                                                                            | 2012-08-01 09:00:53.706031 | 2012-08-06 12:58:48.046373 | 2505
 3337 | Chivas USA                                                                                           | 2012-08-01 09:00:54.724539 | 2012-08-24 09:08:11.348437 | 6573
 3097 | Racing Club                                                                                          | 2012-08-01 09:00:53.737238 | 2012-08-06 12:58:54.459515 | 10080
 3056 | Donegal                                                                                              | 2012-08-01 09:00:53.680707 | 2012-08-01 09:00:53.684159 | 
 5202 | Fola Esch                                                                                            | 2013-07-14 00:15:39.890124 | 2013-07-14 00:15:39.895275 | 
 3058 | Alcoyano                                                                                             | 2012-08-01 09:00:53.696057 | 2012-08-01 09:00:53.699514 | 
